Job,Company,City,Salary,Average_salary,Remote,Skills,More_info
Specjalista ds. administracji chmurÄ (Microsoft Azure) (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"Cybersecurity, Terraform, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-administracji-chmura-microsoft-azure-k-m--konstancin-jeziorna-data
Data Scientist Engineer,Samsung R&D Institute Poland,Warszawa,Undisclosed Salary,Not known,not fully remote,"SQL, Grafana, ",https://justjoin.it/offers/samsung-r-d-institute-poland-data-scientist-engineer-warszawa-data
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"Mandarin, Google App Engine, ",https://justjoin.it/offers/google-technical-solutions-engineer-cloud-databases-english-mandarin--dublin-data
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,16000.0,not fully remote,"SQL, TSQL, ",https://justjoin.it/offers/eracent-sql-developer-warszawa-data
Power BI Lead,Altimetrik Poland,KrakÃ³w,22 000 - 26 000 pln,24000.0,Fully remote,"PowerQuery, Power BI, SQL, ",https://justjoin.it/offers/altimetrik-poland-power-bi-lead-krakow-data
Senior Data Integration Engineer (Databricks),EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"SQL, Python, AWS, ",https://justjoin.it/offers/epam-systems-senior-data-integration-engineer-databricks--poland-remote--data
Senior GenAI Engineer,EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Data, AI, Python, ",https://justjoin.it/offers/epam-systems-senior-genai-engineer-poland-remote--data
"Lead Data Software Engineer (Python, Azure)",EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Databricks, Azure, Data Warehousing, ",https://justjoin.it/offers/epam-systems-lead-data-software-engineer-python-azure--poland-remote--data
DATA Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"JIRA, clean coder, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-21e2c0a1
Senior Data Engineer,Akamai Technologies,KrakÃ³w,19 000 - 20 000 pln,19500.0,Fully remote,"Java, Python, Scala, ",https://justjoin.it/offers/akamai-technologies-senior-data-engineer-krakow-data
Senior Machine Learning Engineer,Tooploox,WrocÅaw,20 000 - 25 000 pln,22500.0,Fully remote,"Deep Learning, Computer Vision, Machine Learning, ",https://justjoin.it/offers/tooploox-senior-machine-learning-engineer-wroc-aw-data
IPC Developer,Avenga,Warszawa,18 500 - 23 500 pln,21000.0,Fully remote,"SQL, Informatica Powercenter, Oracle DB, ",https://justjoin.it/offers/avenga-ipc-developer-warszawa-data
Enterprise Technology Lead,Asana,Warszawa,Undisclosed Salary,Not known,not fully remote,"SaaS, Drift, ",https://justjoin.it/offers/asana-enterprise-technology-lead-warszawa-data-119e1589
EPM Konsultant,IT CONNECT,Warszawa,Undisclosed Salary,Not known,not fully remote,"BI, AWS, ",https://justjoin.it/offers/it-connect-epm-konsultant-warszawa-data
Microsoft Power Platform Engineer,C&F S.A.,Warszawa,Undisclosed Salary,Not known,Fully remote,"English, HTML, RDBMS, ",https://justjoin.it/offers/c-f-s-a--microsoft-power-platform-engineer-warszawa-data
MLOps Engineer in Samsung Ads Project,Samsung R&D Institute Poland,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Python, Amazon AWS, ",https://justjoin.it/offers/samsung-r-d-institute-poland-mlops-engineer-in-samsung-ads-project-krakow-data-dd1723aa
Machine Learning Engineer in Samsung Ads Project,Samsung R&D Institute Poland,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Python, SQL, ",https://justjoin.it/offers/samsung-r-d-institute-poland-machine-learning-engineer-in-samsung-ads-project-krakow-data-c87702ba
Data Engineer (Kafka),Link Group,Warszawa,25 200 - 30 240 pln,27720.0,Fully remote,"Apache Kafka, Azure, Python, ",https://justjoin.it/offers/link-group-data-engineer-kafka--warszawa-data
DataBricks Engineer,CRODU,KrakÃ³w,26 880 - 33 600 pln,30240.0,Fully remote,"Azure, Java, Python, ",https://justjoin.it/offers/crodu-databricks-engineer-krakow-data
Specjalista ds. administracji chmurÄ (Microsoft Azure) (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"Cybersecurity, Terraform, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-administracji-chmura-microsoft-azure-k-m--konstancin-jeziorna-data
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,22500.0,Fully remote,"PL/SQL, SQL, Oracle APEX, ",https://justjoin.it/offers/connectis-pl-sql-developer-warszawa-data
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Structures, ML, ",https://justjoin.it/offers/google-senior-staff-software-engineer-machine-learning-google-cloud-warszawa-data
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,21500.0,Fully remote,"Datalake, SQL, Databricks, ",https://justjoin.it/offers/link-group-azure-data-engineer-warszawa-data
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,20400.0,Fully remote,"Oracle ApplicationExpress, Oracle, Oracle DB, ",https://justjoin.it/offers/pretius-oracle-apex-developer-warszawa-data
Junior Business Intelligence Developer (zastÄpstwo),Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Git, Power BI, ",https://justjoin.it/offers/silky-coders-junior-business-intelligence-developer-zastepstwo--gdansk-data
"Manager, Data Engineering & Analytics",WP Engine,KrakÃ³w,32 400 - 37 000 pln,34700.0,Fully remote,"Leadership, Data Science, Analytics, ",https://justjoin.it/offers/wp-engine-manager-data-engineering-analytics-krakow-data
Database Engineer,VIER GmbH,PoznaÅ,28 644 - 30 355 pln,29499.5,not fully remote,"Ansible, CockroachDB, ",https://justjoin.it/offers/vier-gmbh-database-engineer-poznan-data
Senior Site Reliability Specialist,Navblue,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"DNS, Cloud, ",https://justjoin.it/offers/navblue-senior-site-reliability-specialist
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"English, Python, ",https://justjoin.it/offers/google-technical-solutions-engineer-cloud-databases-english-mandarin--dublin-data
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,16000.0,not fully remote,"SQL Server, SQL, ",https://justjoin.it/offers/eracent-sql-developer-warszawa-data
Power BI Lead,Altimetrik Poland,KrakÃ³w,22 000 - 26 000 pln,24000.0,Fully remote,"Azure, DAX, SQL, ",https://justjoin.it/offers/altimetrik-poland-power-bi-lead-krakow-data
Senior Data Integration Engineer (Databricks),EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"SQL, Python, AWS, ",https://justjoin.it/offers/epam-systems-senior-data-integration-engineer-databricks--poland-remote--data
Senior GenAI Engineer,EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Data, AI, Python, ",https://justjoin.it/offers/epam-systems-senior-genai-engineer-poland-remote--data
"Lead Data Software Engineer (Python, Azure)",EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Databricks, Azure, Data Warehousing, ",https://justjoin.it/offers/epam-systems-lead-data-software-engineer-python-azure--poland-remote--data
DATA Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"JIRA, clean coder, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-21e2c0a1
Senior Data Engineer,Akamai Technologies,KrakÃ³w,19 000 - 20 000 pln,19500.0,Fully remote,"Java, Scala, Python, ",https://justjoin.it/offers/akamai-technologies-senior-data-engineer-krakow-data
Senior Machine Learning Engineer,Tooploox,WrocÅaw,20 000 - 25 000 pln,22500.0,Fully remote,"Python, Deep Learning, Computer Vision, ",https://justjoin.it/offers/tooploox-senior-machine-learning-engineer-wroc-aw-data
IPC Developer,Avenga,Warszawa,18 500 - 23 500 pln,21000.0,Fully remote,"SQL, Oracle DB, PL/SQL, ",https://justjoin.it/offers/avenga-ipc-developer-warszawa-data
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,22500.0,Fully remote,"PL/SQL, Oracle APEX, SQL, ",https://justjoin.it/offers/connectis-pl-sql-developer-warszawa-data
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"Machine Learning, data algorithms, ",https://justjoin.it/offers/google-senior-staff-software-engineer-machine-learning-google-cloud-warszawa-data
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,21500.0,Fully remote,"Databricks, Data, Datalake, ",https://justjoin.it/offers/link-group-azure-data-engineer-warszawa-data
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,20400.0,Fully remote,"Oracle ApplicationExpress, PL/SQL, Oracle DB, ",https://justjoin.it/offers/pretius-oracle-apex-developer-warszawa-data
Junior Business Intelligence Developer (zastÄpstwo),Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Git, MS SQL, ",https://justjoin.it/offers/silky-coders-junior-business-intelligence-developer-zastepstwo--gdansk-data
"Manager, Data Engineering & Analytics",WP Engine,KrakÃ³w,32 400 - 37 000 pln,34700.0,Fully remote,"Data Science, Analytics, Leadership, ",https://justjoin.it/offers/wp-engine-manager-data-engineering-analytics-krakow-data
Database Engineer,VIER GmbH,PoznaÅ,28 644 - 30 355 pln,29499.5,not fully remote,"Galera Cluster., Ansible, ",https://justjoin.it/offers/vier-gmbh-database-engineer-poznan-data
Senior Site Reliability Specialist,Navblue,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Amazon AWS, English, ",https://justjoin.it/offers/navblue-senior-site-reliability-specialist
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"Mandarin, Java, ",https://justjoin.it/offers/google-technical-solutions-engineer-cloud-databases-english-mandarin--dublin-data
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,16000.0,not fully remote,"TSQL, SQL Server, ",https://justjoin.it/offers/eracent-sql-developer-warszawa-data
Power BI Lead,Altimetrik Poland,KrakÃ³w,22 000 - 26 000 pln,24000.0,Fully remote,"SQL, Power BI, PowerQuery, ",https://justjoin.it/offers/altimetrik-poland-power-bi-lead-krakow-data
Senior Data Integration Engineer (Databricks),EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Python, SQL, Databricks, ",https://justjoin.it/offers/epam-systems-senior-data-integration-engineer-databricks--poland-remote--data
Senior GenAI Engineer,EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Data, GenAI, LLM, ",https://justjoin.it/offers/epam-systems-senior-genai-engineer-poland-remote--data
"Lead Data Software Engineer (Python, Azure)",EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Azure, Data Warehousing, Data modeling, ",https://justjoin.it/offers/epam-systems-lead-data-software-engineer-python-azure--poland-remote--data
DATA Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Agile, clean coder, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-21e2c0a1
Senior Data Engineer,Akamai Technologies,KrakÃ³w,19 000 - 20 000 pln,19500.0,Fully remote,"Java, Scala, Python, ",https://justjoin.it/offers/akamai-technologies-senior-data-engineer-krakow-data
Senior Machine Learning Engineer,Tooploox,WrocÅaw,20 000 - 25 000 pln,22500.0,Fully remote,"Deep Learning, Python, Computer Vision, ",https://justjoin.it/offers/tooploox-senior-machine-learning-engineer-wroc-aw-data
IPC Developer,Avenga,Warszawa,18 500 - 23 500 pln,21000.0,Fully remote,"SQL, Informatica Powercenter, Oracle DB, ",https://justjoin.it/offers/avenga-ipc-developer-warszawa-data
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,22500.0,Fully remote,"PL/SQL, Oracle APEX, Oracle, ",https://justjoin.it/offers/connectis-pl-sql-developer-warszawa-data
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"ML, Data Structures, ",https://justjoin.it/offers/google-senior-staff-software-engineer-machine-learning-google-cloud-warszawa-data
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,21500.0,Fully remote,"SQL, DataFactory, Data, ",https://justjoin.it/offers/link-group-azure-data-engineer-warszawa-data
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,20400.0,Fully remote,"Oracle ApplicationExpress, PL/SQL, Oracle, ",https://justjoin.it/offers/pretius-oracle-apex-developer-warszawa-data
Junior Business Intelligence Developer (zastÄpstwo),Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"MS SQL, Azure, ",https://justjoin.it/offers/silky-coders-junior-business-intelligence-developer-zastepstwo--gdansk-data
"Manager, Data Engineering & Analytics",WP Engine,KrakÃ³w,32 400 - 37 000 pln,34700.0,Fully remote,"Analytics, Leadership, Data Science, ",https://justjoin.it/offers/wp-engine-manager-data-engineering-analytics-krakow-data
Database Engineer,VIER GmbH,PoznaÅ,28 644 - 30 355 pln,29499.5,not fully remote,"Galera Cluster., Ansible, ",https://justjoin.it/offers/vier-gmbh-database-engineer-poznan-data
Senior Site Reliability Specialist,Navblue,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Scripting, MySQL, ",https://justjoin.it/offers/navblue-senior-site-reliability-specialist
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"Mandarin, Python, ",https://justjoin.it/offers/google-technical-solutions-engineer-cloud-databases-english-mandarin--dublin-data
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,16000.0,not fully remote,"SQL, SQL Server, ",https://justjoin.it/offers/eracent-sql-developer-warszawa-data
Power BI Lead,Altimetrik Poland,KrakÃ³w,22 000 - 26 000 pln,24000.0,Fully remote,"Power BI, Azure, DAX, ",https://justjoin.it/offers/altimetrik-poland-power-bi-lead-krakow-data
Senior Data Integration Engineer (Databricks),EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Python, SQL, Databricks, ",https://justjoin.it/offers/epam-systems-senior-data-integration-engineer-databricks--poland-remote--data
Senior GenAI Engineer,EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Data, GenAI, LLM, ",https://justjoin.it/offers/epam-systems-senior-genai-engineer-poland-remote--data
"Lead Data Software Engineer (Python, Azure)",EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Azure, Data Warehousing, Data modeling, ",https://justjoin.it/offers/epam-systems-lead-data-software-engineer-python-azure--poland-remote--data
DATA Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"clean coder, JIRA, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-21e2c0a1
Senior Data Engineer,Akamai Technologies,KrakÃ³w,19 000 - 20 000 pln,19500.0,Fully remote,"Scala, Python, Java, ",https://justjoin.it/offers/akamai-technologies-senior-data-engineer-krakow-data
Senior Machine Learning Engineer,Tooploox,WrocÅaw,20 000 - 25 000 pln,22500.0,Fully remote,"Computer Vision, Deep Learning, Python, ",https://justjoin.it/offers/tooploox-senior-machine-learning-engineer-wroc-aw-data
IPC Developer,Avenga,Warszawa,18 500 - 23 500 pln,21000.0,Fully remote,"SQL, PL/SQL, Oracle DB, ",https://justjoin.it/offers/avenga-ipc-developer-warszawa-data
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,22500.0,Fully remote,"PL/SQL, Oracle APEX, Oracle, ",https://justjoin.it/offers/connectis-pl-sql-developer-warszawa-data
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"ML, Data Structures, ",https://justjoin.it/offers/google-senior-staff-software-engineer-machine-learning-google-cloud-warszawa-data
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,21500.0,Fully remote,"DataFactory, Databricks, Python, ",https://justjoin.it/offers/link-group-azure-data-engineer-warszawa-data
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,20400.0,Fully remote,"Oracle ApplicationExpress, PL/SQL, Oracle, ",https://justjoin.it/offers/pretius-oracle-apex-developer-warszawa-data
Junior Business Intelligence Developer (zastÄpstwo),Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"MS SQL, Azure, ",https://justjoin.it/offers/silky-coders-junior-business-intelligence-developer-zastepstwo--gdansk-data
"Manager, Data Engineering & Analytics",WP Engine,KrakÃ³w,32 400 - 37 000 pln,34700.0,Fully remote,"Analytics, Leadership, Data Science, ",https://justjoin.it/offers/wp-engine-manager-data-engineering-analytics-krakow-data
Database Engineer,VIER GmbH,PoznaÅ,28 644 - 30 355 pln,29499.5,not fully remote,"CockroachDB, Galera Cluster., ",https://justjoin.it/offers/vier-gmbh-database-engineer-poznan-data
Senior Site Reliability Specialist,Navblue,GdaÅsk,19 000 - 26 000 pln,22500.0,not fully remote,"English, Scripting, ",https://justjoin.it/offers/navblue-senior-site-reliability-specialist-gdansk-data
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"Mandarin, Google App Engine, ",https://justjoin.it/offers/google-technical-solutions-engineer-cloud-databases-english-mandarin--dublin-data
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,16000.0,not fully remote,"SQL, TSQL, ",https://justjoin.it/offers/eracent-sql-developer-warszawa-data
Power BI Lead,Altimetrik Poland,KrakÃ³w,22 000 - 26 000 pln,24000.0,Fully remote,"SQL, DAX, Azure, ",https://justjoin.it/offers/altimetrik-poland-power-bi-lead-krakow-data
Senior Data Integration Engineer (Databricks),EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Python, SQL, Databricks, ",https://justjoin.it/offers/epam-systems-senior-data-integration-engineer-databricks--poland-remote--data
Senior GenAI Engineer,EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Data, GenAI, LLM, ",https://justjoin.it/offers/epam-systems-senior-genai-engineer-poland-remote--data
"Lead Data Software Engineer (Python, Azure)",EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Azure, Data Warehousing, Data modeling, ",https://justjoin.it/offers/epam-systems-lead-data-software-engineer-python-azure--poland-remote--data
DATA Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Agile, SQL, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-21e2c0a1
Senior Data Engineer,Akamai Technologies,KrakÃ³w,19 000 - 20 000 pln,19500.0,Fully remote,"Scala, Python, Java, ",https://justjoin.it/offers/akamai-technologies-senior-data-engineer-krakow-data
Senior Machine Learning Engineer,Tooploox,WrocÅaw,20 000 - 25 000 pln,22500.0,Fully remote,"Computer Vision, Machine Learning, Python, ",https://justjoin.it/offers/tooploox-senior-machine-learning-engineer-wroc-aw-data
IPC Developer,Avenga,Warszawa,18 500 - 23 500 pln,21000.0,Fully remote,"SQL, PL/SQL, Informatica Powercenter, ",https://justjoin.it/offers/avenga-ipc-developer-warszawa-data
Data Scientist,Harman Connected Services,ÅÃ³dÅº,17 300 - 24 700 pln,21000.0,Fully remote,"Snowflake, Python, GitHub Actions, ",https://justjoin.it/offers/harman-connected-services-data-scientist-lodz-data
Data Solution Architect/Data Architect,Altimetrik Poland,KrakÃ³w,27 000 - 37 000 pln,32000.0,Fully remote,"Python, Data modeling, Data Architecture Design, ",https://justjoin.it/offers/altimetrik-poland-data-solution-architect-data-architect-krakow-data
Process Mining Consultant,Heineken,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Business Intelligence, Databases, ",https://justjoin.it/offers/heineken-process-mining-consultant-krakow-data
Data Engineer,Datumo,PoznaÅ,14 000 - 25 000 pln,19500.0,Fully remote,"Big Data, Python, Cloud, ",https://justjoin.it/offers/datumo-data-engineer-poznan-data
Data Engineer (Senior/Principal),Addepto,Warszawa,21 000 - 31 920 pln,26460.0,Fully remote,"Big Data, Python, Data Integration, ",https://justjoin.it/offers/addepto-data-engineer-senior-principal--warszawa-data
Data Scientist / ML Engineer,Addepto,Warszawa,14 280 - 28 560 pln,21420.0,Fully remote,"AI, NLP, Machine Learning, ",https://justjoin.it/offers/addepto-data-scientist-ml-engineer-warszawa-data
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,22500.0,Fully remote,"PL/SQL, Oracle APEX, Oracle, ",https://justjoin.it/offers/connectis-pl-sql-developer-warszawa-data
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Structures, data algorithms, ",https://justjoin.it/offers/google-senior-staff-software-engineer-machine-learning-google-cloud-warszawa-data
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,21500.0,Fully remote,"Data, Python, DataFactory, ",https://justjoin.it/offers/link-group-azure-data-engineer-warszawa-data
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,20400.0,Fully remote,"Oracle ApplicationExpress, PL/SQL, Oracle DB, ",https://justjoin.it/offers/pretius-oracle-apex-developer-warszawa-data
Junior Business Intelligence Developer (zastÄpstwo),Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Azure, Git, ",https://justjoin.it/offers/silky-coders-junior-business-intelligence-developer-zastepstwo--gdansk-data
"Manager, Data Engineering & Analytics",WP Engine,KrakÃ³w,32 400 - 37 000 pln,34700.0,Fully remote,"Analytics, Leadership, Data Science, ",https://justjoin.it/offers/wp-engine-manager-data-engineering-analytics-krakow-data
Database Engineer,VIER GmbH,PoznaÅ,28 644 - 30 355 pln,29499.5,not fully remote,"Galera Cluster., Ansible, ",https://justjoin.it/offers/vier-gmbh-database-engineer-poznan-data
Senior Site Reliability Specialist,Navblue,GdaÅsk,19 000 - 26 000 pln,22500.0,not fully remote,"Amazon AWS, Windows, ",https://justjoin.it/offers/navblue-senior-site-reliability-specialist-gdansk-data
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"English, JavaScript, ",https://justjoin.it/offers/google-technical-solutions-engineer-cloud-databases-english-mandarin--dublin-data
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,16000.0,not fully remote,"SQL, TSQL, ",https://justjoin.it/offers/eracent-sql-developer-warszawa-data
Power BI Lead,Altimetrik Poland,KrakÃ³w,22 000 - 26 000 pln,24000.0,Fully remote,"SQL, DAX, Azure, ",https://justjoin.it/offers/altimetrik-poland-power-bi-lead-krakow-data
Senior Data Integration Engineer (Databricks),EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Python, SQL, Data Warehousing, ",https://justjoin.it/offers/epam-systems-senior-data-integration-engineer-databricks--poland-remote--data
Senior Data Engineer (Cloud) âï¸,ITDS,Warszawa,22 000 - 27 300 pln,24650.0,Fully remote,"SQL, Apache Airflow, GCP/AWS/AZURE, ",https://justjoin.it/offers/itds-senior-data-engineer-cloud--warszawa-data
BI Team Leader,bolttech Poland Sp. z o.o.,Warszawa,Undisclosed Salary,Not known,not fully remote,"ETL, BI, ",https://justjoin.it/offers/bolttech-poland-sp-z-o-o--bi-team-leader-warszawa-data
Data Scientist,Harman Connected Services,ÅÃ³dÅº,17 300 - 24 700 pln,21000.0,Fully remote,"scikit-learn, AWS, Snowflake, ",https://justjoin.it/offers/harman-connected-services-data-scientist-lodz-data
Data Solution Architect/Data Architect,Altimetrik Poland,KrakÃ³w,27 000 - 37 000 pln,32000.0,Fully remote,"Data modeling, Data Warehousing, ",https://justjoin.it/offers/altimetrik-poland-data-solution-architect-data-architect-krakow-data
Process Mining Consultant,Heineken,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Databases, Data, ",https://justjoin.it/offers/heineken-process-mining-consultant-krakow-data
Data Engineer,Datumo,PoznaÅ,14 000 - 25 000 pln,19500.0,Fully remote,"Python, Big Data, Cloud, ",https://justjoin.it/offers/datumo-data-engineer-poznan-data
Data Engineer (Senior/Principal),Addepto,Warszawa,21 000 - 31 920 pln,26460.0,Fully remote,"Big Data, Python, Data Integration, ",https://justjoin.it/offers/addepto-data-engineer-senior-principal--warszawa-data
Data Scientist / ML Engineer,Addepto,Warszawa,14 280 - 28 560 pln,21420.0,Fully remote,"Machine Learning, Python, AI, ",https://justjoin.it/offers/addepto-data-scientist-ml-engineer-warszawa-data
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,22500.0,Fully remote,"PL/SQL, Oracle, Oracle APEX, ",https://justjoin.it/offers/connectis-pl-sql-developer-warszawa-data
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"ML, Machine Learning, ",https://justjoin.it/offers/google-senior-staff-software-engineer-machine-learning-google-cloud-warszawa-data
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,21500.0,Fully remote,"Datalake, Data, SQL, ",https://justjoin.it/offers/link-group-azure-data-engineer-warszawa-data
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,20400.0,Fully remote,"Oracle ApplicationExpress, Oracle, Oracle DB, ",https://justjoin.it/offers/pretius-oracle-apex-developer-warszawa-data
Junior Business Intelligence Developer (zastÄpstwo),Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Git, MS SQL, ",https://justjoin.it/offers/silky-coders-junior-business-intelligence-developer-zastepstwo--gdansk-data
"Manager, Data Engineering & Analytics",WP Engine,KrakÃ³w,32 400 - 37 000 pln,34700.0,Fully remote,"Leadership, Data Science, Analytics, ",https://justjoin.it/offers/wp-engine-manager-data-engineering-analytics-krakow-data
Database Engineer,VIER GmbH,PoznaÅ,28 644 - 30 355 pln,29499.5,not fully remote,"Ansible, Galera Cluster., ",https://justjoin.it/offers/vier-gmbh-database-engineer-poznan-data
Senior Site Reliability Specialist,Navblue,GdaÅsk,19 000 - 26 000 pln,22500.0,not fully remote,"XML, DNS, ",https://justjoin.it/offers/navblue-senior-site-reliability-specialist-gdansk-data
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"English, JavaScript, ",https://justjoin.it/offers/google-technical-solutions-engineer-cloud-databases-english-mandarin--dublin-data
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,16000.0,not fully remote,"SQL, TSQL, ",https://justjoin.it/offers/eracent-sql-developer-warszawa-data
Senior Data Engineer (Cloud) âï¸,ITDS,Warszawa,22 000 - 27 300 pln,24650.0,Fully remote,"Python, Apache Airflow, SQL, ",https://justjoin.it/offers/itds-senior-data-engineer-cloud--warszawa-data
BI Team Leader,bolttech Poland Sp. z o.o.,Warszawa,Undisclosed Salary,Not known,not fully remote,"ETL, msql, ",https://justjoin.it/offers/bolttech-poland-sp-z-o-o--bi-team-leader-warszawa-data
Data Scientist,Harman Connected Services,ÅÃ³dÅº,17 300 - 24 700 pln,21000.0,Fully remote,"scikit-learn, AWS, Snowflake, ",https://justjoin.it/offers/harman-connected-services-data-scientist-lodz-data
Data Solution Architect/Data Architect,Altimetrik Poland,KrakÃ³w,27 000 - 37 000 pln,32000.0,Fully remote,"Data Architecture Design, Data modeling, ",https://justjoin.it/offers/altimetrik-poland-data-solution-architect-data-architect-krakow-data
Process Mining Consultant,Heineken,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Business Intelligence, SQL, ",https://justjoin.it/offers/heineken-process-mining-consultant-krakow-data
Data Engineer,Datumo,PoznaÅ,14 000 - 25 000 pln,19500.0,Fully remote,"Cloud, Python, Big Data, ",https://justjoin.it/offers/datumo-data-engineer-poznan-data
